station_no,station_name,lat,lon
115369,"Loch Of Hundland",59.11205747,-3.229365594
485489,"Loch Restil",56.23604254,-4.853369348
354622,"Loch Tormasad",57.56195723,-7.316740973
579464,"Loch Vaa",57.23627646,-3.803196316
14898,"Loch Venachar",56.23425763,-4.25686637
458798,"Lochboisdale",57.15462713,-7.31655462
115370,"Lochcarron",57.40008827,-5.494920778
115371,"Lochindorb Level",57.39798722,-3.714675739
336847,"Lochindorb North",57.41478835,-3.691385645
336419,"Lochmaben",55.13661823,-3.462704212
509677,"Lochwinnoch",55.78853152,-4.618943233
567430,"Logie Bridge",57.49449251,-3.736619229
14927,"Logie Mill",56.7668773,-2.493365398
133760,"Longbridgemuir Farm",55.00586713,-3.455079486
473167,"Lossiemouth",57.71918475,-3.323337879
115611,"Low Creoch",54.90352684,-4.18922643
133167,"Low Malzie",54.85901864,-4.522077924
115612,"Lower Black Laggan",55.07053305,-4.398510409
115374,"Lower Diabaig",57.57896957,-5.691679137
116006,"Lower Monachyle",56.37472206,-4.4712587
14865,"Luffness",56.02022484,-2.821888561
17156,"Luffness Borehole",56.01180479,-2.835423016
115376,"Luib",57.5445048,-5.123945869
327237,"Lukeston",55.98447497,-4.240765022
14940,"Luncarty",56.46394135,-3.477636063
133108,"Luss",56.10033657,-4.644123033
129558,"Luss Raingauge",56.09892116,-4.638863963
14928,"Luther Bridge",56.7936908,-2.55997015
14973,"Lyne Ford",55.64466586,-3.263056512
14974,"Lyne Station",55.64733183,-3.25808918
769215,"Lyth No.2",58.54946077,-3.20660814
133110,"Maidencots",55.51579546,-3.695370189
133111,"Mainholm",55.46104476,-4.592546164
348936,"Mains of Balgavies Deep sst Obs BH",56.65231898,-2.761840366
348939,"Mains of Balgavies Shallow Sst Bedrock B",56.65229203,-2.761839822
234274,"Mar Lodge",56.98804049,-3.486197825
14959,"Marble Lodge",56.82242289,-3.816539353
14976,"March Street",55.6553291,-3.19057537
459908,"Maryfield Shallow Obs BH",55.08650073,-3.664713902
340431,"Maverston Farm BH3",57.6566082,-3.169188924
115616,"Meadowfoot",55.40534471,-3.799886702
356327,"Meikle Kinord",57.07826247,-2.921345756
15066,"Meikle Tombane",56.541982,-3.712440434
504722,"Meikleholm Bridge",55.36209214,-3.462380402
115617,"Merton Bank Lochmaben",55.13494009,-3.439865821
14945,"Mill Bank",56.54503404,-3.333677733
354623,"Mill Croft",57.2886568,-7.368331541
205209,"Mill Of Gavel",57.55561687,-2.009109628
368494,"Mill of Keithfield",57.39549598,-2.268170959
365228,"Mill of Keithfield BH",57.3950635,-2.268783395
234277,"Mill of Tore",57.33389585,-4.575831167
133112,"Milliken Park",55.82523457,-4.537788828
